SKU,orderID,quantity
PZ020,O000,1
PZ030,O001,1
PZ009,O001,1
PZ025,O002,1
PZ010,O003,1
PZ018,O004,1
PZ002,O005,1
PZ023,O006,1
PZ002,O007,1
PZ017,O007,1
PZ028,O008,1
PZ023,O008,1
PZ018,O009,1
PZ019,O009,1
PZ020,O009,1
PZ028,O009,1
PZ020,O010,1
PZ020,O010,1
PZ020,O010,1
PZ002,O010,1
PZ026,O011,1
PZ015,O011,1
PZ026,O012,1
PZ025,O013,1
PZ019,O013,1
PZ017,O014,1
PZ013,O015,1
PZ020,O016,1
PZ018,O017,1
PZ020,O018,1
PZ030,O018,1
PZ015,O018,1
PZ017,O019,1
PZ013,O020,1
PZ001,O020,1
PZ031,O021,1
PZ019,O022,1
PZ019,O023,1
PZ018,O024,1
PZ013,O025,1
