orderID,customerID,storeID,orderDate,nItems,total
O000,C501741,S302800,2021-04-11 00:05:37,1,22.99
O001,C896243,S750231,2022-06-11 02:12:49,2,27.98
O002,C720657,S799887,2022-06-13 20:18:55,1,12.99
O003,C647388,S688745,2022-11-12 07:06:27,1,15.99
O004,C521597,S688745,2020-05-21 02:41:23,1,15.99
O005,C001463,S948821,2021-03-19 22:30:21,1,14.99
O006,C740924,S351225,2022-05-26 21:14:29,1,19.99
O007,C409479,S068548,2022-12-06 01:31:37,2,26.98
O008,C397210,S606312,2020-02-17 22:42:53,2,43.98
O009,C631096,S750231,2020-08-14 22:44:13,4,81.96
O010,C863150,S817950,2021-04-09 23:23:08,4,83.96
O011,C961587,S058118,2022-01-19 23:01:17,2,38.98
O012,C560037,S068548,2020-08-25 22:59:58,1,16.99
O013,C493310,S606312,2022-10-31 22:13:13,2,31.98
O014,C863719,S302800,2020-12-05 01:57:24,1,11.99
O015,C423544,S588444,2022-12-11 01:05:11,1,13.99
O016,C370063,S370494,2022-07-07 23:18:22,1,22.99
O017,C551454,S688745,2022-04-19 02:01:28,1,15.99
O018,C044363,S302800,2021-05-31 02:51:22,3,60.97
O019,C932120,S490972,2021-07-09 02:12:57,1,11.99
O020,C722975,S068548,2022-05-25 01:51:39,2,24.98
O021,C953233,S505400,2022-01-11 23:54:25,1,18.99
O022,C026364,S490972,2020-11-15 01:57:05,1,18.99
O023,C173336,S058118,2020-08-30 02:44:35,1,18.99
O024,C834691,S068548,2021-04-22 22:52:36,2,38.98
O025,C174922,S799887,2022-11-14 01:14:09,1,13.99
